Quarter,Region,Trust_type,Trust_subtype,Trust_code,Trust_name,Domain,Sub-domain,Metric_ID,Metric_description,Reporting_date,Units,Value,Median_value,Lower_quartile,Upper_quartile,Rank
Q1 2026/27,South East,Ambulance trust,Ambulance,RYD,South East Coast Ambulance Service NHS Foundation Trust,"Finance, productivity and innovation",Productivity,OF0086,Relative cost difference (National Cost Collection Index),2025,rate,101.44,96.16,94.84,104.16,7.0
Q1 2026/27,South East,Ambulance trust,Ambulance,RYE,South Central Ambulance Service NHS Foundation Trust,"Finance, productivity and innovation",Productivity,OF0086,Relative cost difference (National Cost Collection Index),2025,rate,95.02,96.16,94.84,104.16,4.0
Q1 2026/27,South West,Ambulance trust,Ambulance,RYF,South Western Ambulance Service NHS Foundation Trust,"Finance, productivity and innovation",Productivity,OF0086,Relative cost difference (National Cost Collection Index),2025,rate,112.72,96.16,94.84,104.16,9.0
Q1 2026/27,London,Ambulance trust,Ambulance,RRU,London Ambulance Service NHS Trust,"Finance, productivity and innovation",Innovation,OF0094,Percentage of clinical trials set up within 90 days,Q1 26/27,rate,100.0,100.0,100.0,100.0,1.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX8,Yorkshire Ambulance Service NHS Trust,"Finance, productivity and innovation",Innovation,OF0094,Percentage of clinical trials set up within 90 days,Q1 26/27,rate,100.0,100.0,100.0,100.0,1.0
Q1 2026/27,South West,Ambulance trust,Ambulance,RYF,South Western Ambulance Service NHS Foundation Trust,"Finance, productivity and innovation",Innovation,OF0096,Overall Data Quality Maturity Index,M1 26/27,index,70.7,70.7,70.7,70.7,1.0
Q1 2026/27,London,Ambulance trust,Ambulance,RRU,London Ambulance Service NHS Trust,People,People and culture,OF0101,Percentage of frontline healthcare workers to receive a flu vaccination,M11 25/26,%,50.4,50.35,46.9,59.37,5.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX6,North East Ambulance Service NHS Foundation Trust,People,People and culture,OF0101,Percentage of frontline healthcare workers to receive a flu vaccination,M11 25/26,%,42.2,50.35,46.9,59.37,9.0
Q1 2026/27,North West,Ambulance trust,Ambulance,RX7,North West Ambulance Service NHS Trust,People,People and culture,OF0101,Percentage of frontline healthcare workers to receive a flu vaccination,M11 25/26,%,41.9,50.35,46.9,59.37,10.0
Q1 2026/27,North East and Yorkshire,Ambulance trust,Ambulance,RX8,Yorkshire Ambulance Service NHS Trust,People,People and culture,OF0101,Percentage of frontline healthcare workers to receive a flu vaccination,M11 25/26,%,46.1,50.35,46.9,59.37,8.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RX9,East Midlands Ambulance Service NHS Trust,People,People and culture,OF0101,Percentage of frontline healthcare workers to receive a flu vaccination,M11 25/26,%,61.5,50.35,46.9,59.37,3.0
Q1 2026/27,Midlands,Ambulance trust,Ambulance,RYA,West Midlands Ambulance Service University NHS Foundation Trust,People,People and culture,OF0101,Percentage of frontline healthcare workers to receive a flu vaccination,M11 25/26,%,64.4,50.35,46.9,59.37,1.0
Q1 2026/27,East,Ambulance trust,Ambulance,RYC,East of England Ambulance Service NHS Trust,People,People and culture,OF0101,Percentage of frontline healthcare workers to receive a flu vaccination,M11 25/26,%,49.3,50.35,46.9,59.37,7.0
